movie_title,duration,DIRECTOR_facebook_likes
Avatar?ÿ,178.0,10
Pirates of the Caribbean: At World's End?ÿ,,563
Spectre?ÿ,148.0,20
The Dark Knight Rises?ÿ,,22000
John Carter?ÿ,132.0,"""475"""
Spider-Man 3?ÿ,156.0,23
Tangled?ÿ,,15
Avengers: Age of Ultron?ÿ,141.0,10
Avengers: Age of Ultron?ÿ,141.0,10
Harry Potter and the Half-Blood Prince?ÿ,153.0,282
Batman v Superman: Dawn of Justice?ÿ,183.0,
Superman Returns?ÿ,169.0,
Quantum of Solace?ÿ,106.0,395
Pirates of the Caribbean: Dead Man's Chest?ÿ,151.0,563
